instancia,grupo,constructiva,operador,costo_inicial,costo_final,mejora_pct,tiempo_s,pasadas
e05200,e,insercion,relocate_multiple,137502.0000,137502.0000,0.0000,0.0000,0
e05200,e,insercion,swap_multiple,137502.0000,137344.0000,0.1149,0.0001,2
e10100,e,vmc,relocate_first,24261.0000,24261.0000,0.0000,0.0000,0
e10100,e,vmc,relocate_best,24261.0000,24261.0000,0.0000,0.0000,0
e10100,e,vmc,swap_first,24261.0000,24042.0000,0.9027,0.0000,7
e10100,e,vmc,swap_best,24261.0000,24050.0000,0.8697,0.0001,6
e10100,e,vmc,relocate_multiple,24261.0000,24261.0000,0.0000,0.0000,0
e10100,e,vmc,swap_multiple,24261.0000,24018.0000,1.0016,0.0001,4
e10100,e,insercion,relocate_first,61077.0000,61077.0000,0.0000,0.0000,0
e10100,e,insercion,relocate_best,61077.0000,61077.0000,0.0000,0.0000,0
e10100,e,insercion,swap_first,61077.0000,60321.0000,1.2378,0.0000,6
e10100,e,insercion,swap_best,61077.0000,60321.0000,1.2378,0.0001,4
e10100,e,insercion,relocate_multiple,61077.0000,61077.0000,0.0000,0.0000,0
e10100,e,insercion,swap_multiple,61077.0000,60321.0000,1.2378,0.0001,5
e10200,e,vmc,relocate_first,61811.0000,61811.0000,0.0000,0.0000,0
e10200,e,vmc,relocate_best,61811.0000,61811.0000,0.0000,0.0000,0
e10200,e,vmc,swap_first,61811.0000,61353.0000,0.7410,0.0002,9
e10200,e,vmc,swap_best,61811.0000,61351.0000,0.7442,0.0003,9
e10200,e,vmc,relocate_multiple,61811.0000,61811.0000,0.0000,0.0000,0
e10200,e,vmc,swap_multiple,61811.0000,61351.0000,0.7442,0.0003,11
e10200,e,insercion,relocate_first,148318.0000,148318.0000,0.0000,0.0000,0
e10200,e,insercion,relocate_best,148318.0000,148318.0000,0.0000,0.0000,0
e10200,e,insercion,swap_first,148318.0000,146689.0000,1.0983,0.0002,13
e10200,e,insercion,swap_best,148318.0000,146676.0000,1.1071,0.0003,8
e10200,e,insercion,relocate_multiple,148318.0000,148318.0000,0.0000,0.0001,0
e10200,e,insercion,swap_multiple,148318.0000,146742.0000,1.0626,0.0002,9
e10400,e,vmc,relocate_first,249218.0000,249218.0000,0.0000,0.0000,0
e10400,e,vmc,relocate_best,249218.0000,249218.0000,0.0000,0.0000,0
e10400,e,vmc,swap_first,249218.0000,248674.0000,0.2183,0.0010,18
e10400,e,vmc,swap_best,249218.0000,248606.0000,0.2456,0.0014,11
e10400,e,vmc,relocate_multiple,249218.0000,249218.0000,0.0000,0.0001,0
e10400,e,vmc,swap_multiple,249218.0000,248717.0000,0.2010,0.0011,16
e10400,e,insercion,relocate_first,410505.0000,410505.0000,0.0000,0.0000,0
e10400,e,insercion,relocate_best,410505.0000,410505.0000,0.0000,0.0000,0
e10400,e,insercion,swap_first,410505.0000,408527.0000,0.4818,0.0003,14
e10400,e,insercion,swap_best,410505.0000,408490.0000,0.4909,0.0007,6
e10400,e,insercion,relocate_multiple,410505.0000,410505.0000,0.0000,0.0001,0
e10400,e,insercion,swap_multiple,410505.0000,408590.0000,0.4665,0.0007,17
e20100,e,vmc,relocate_first,3791.0000,3791.0000,0.0000,0.0000,0
e20100,e,vmc,relocate_best,3791.0000,3791.0000,0.0000,0.0000,0
e20100,e,vmc,swap_first,3791.0000,2657.0000,29.9130,0.0000,19
e20100,e,vmc,swap_best,3791.0000,2690.0000,29.0425,0.0000,5
e20100,e,vmc,relocate_multiple,3791.0000,3791.0000,0.0000,0.0000,0
e20100,e,vmc,swap_multiple,3791.0000,2690.0000,29.0425,0.0001,6
e20100,e,insercion,relocate_first,2420.0000,2420.0000,0.0000,0.0000,0
e20100,e,insercion,relocate_best,2420.0000,2420.0000,0.0000,0.0000,0
e20100,e,insercion,swap_first,2420.0000,2420.0000,0.0000,0.0000,0
e20100,e,insercion,swap_best,2420.0000,2420.0000,0.0000,0.0000,0
